Settlement Date,Settlement Period,System Sell Price(£/MWh),System Buy Price(£/MWh),Net Imbalance Volume(MWh)
26/11/2013,42,43.07292,53.9,-78.915
26/11/2013,43,53.81,57.75471,171.4468
26/11/2013,44,43.1,53.15,-12.0576
26/11/2013,45,43.22372,50.48,-36.7117
26/11/2013,46,42.1402,48.52,-183.6412
26/11/2013,47,42.11797,46.68,-239.7419
26/11/2013,48,38.7727,46.2,-441.3577
27/11/2013,1,40.58916,46.71,-192.4953
27/11/2013,2,42.85,46.82,-13.166
27/11/2013,3,44.46,55.37311,9.1595
27/11/2013,4,35.99026,42.42,-246.7839
27/11/2013,5,33.80057,41.91,-284.1078
27/11/2013,6,32.18557,41.05,-243.5541
27/11/2013,7,31.92249,37.77,-419.2624
27/11/2013,8,31.62179,37.47,-539.7614
27/11/2013,9,31.43254,37.81,-515.4736
27/11/2013,10,31.17522,38.12,-575.1609
27/11/2013,11,31.63555,39.19,-313.4691
27/11/2013,12,33.2694,41.81,-434.5771
27/11/2013,13,41.16517,48.25,-172.9767
27/11/2013,14,40.58514,48.86,-392.5653
27/11/2013,15,42.79101,49.41,-278.6485
27/11/2013,16,42.88059,50.52,-374.7132
27/11/2013,17,42.95576,47.97,-383.2974
27/11/2013,18,42.93419,47.24,-579.9207
27/11/2013,19,43.10678,48.25,-446.6325
27/11/2013,20,43.03711,48.44,-340.9457
27/11/2013,21,42.8654,49.42,-283.7229
27/11/2013,22,42.52833,49.9,-200.6331
27/11/2013,23,42.60672,50.56,-218.7465
27/11/2013,24,42.50678,50.73,-242.8503
27/11/2013,25,42.76109,50.47,-238.5291
27/11/2013,26,42.86066,49.36,-310.0639
27/11/2013,27,42.86771,49.66,-164.6977
27/11/2013,28,43.02312,49.04,-213.9574
27/11/2013,29,42.97759,48.8,-371.0665
27/11/2013,30,43.07529,46.8,-549.2375
27/11/2013,31,43.0706,55.41,-420.1379
27/11/2013,32,43.03773,56.33,-242.6864
27/11/2013,33,43.74089,66.38,-298.1851
27/11/2013,34,79.19,102.31075,69.032
27/11/2013,35,42.05528,78.68,-238.3452
27/11/2013,36,43.54772,73.21,-85.0909
27/11/2013,37,43.61448,70.57,-363.309
27/11/2013,38,43.40012,68.79,-573.4597
27/11/2013,39,43.26187,53.78,-285.9846
27/11/2013,40,43.37211,54.19,-276.2846
27/11/2013,41,43.30555,54.04,-176.7761
27/11/2013,42,43.36327,53.75,-425.7625
27/11/2013,43,43.21443,52.9,-655.8755
27/11/2013,44,43.18828,51.64,-634.5127
27/11/2013,45,43.43247,50.94,-335.5146
27/11/2013,46,43.50542,50.24,-229.1171
27/11/2013,47,43.19907,49.82,-100.1252
27/11/2013,48,41.55189,49.34,-269.5473
28/11/2013,1,40.46298,48.39,-139.1241
28/11/2013,2,42.51,48.71,-52.3379
28/11/2013,3,41.04348,42,-53.9667
28/11/2013,4,36.81093,41.93,-316.8782
28/11/2013,5,35.72205,40.98,-487.8081
28/11/2013,6,35.82614,40.37,-257.0638
28/11/2013,7,35.51787,42.52,-54.9611
28/11/2013,8,35.87586,40.29,-240.8153
28/11/2013,9,35.75213,39.2,-233.1847
28/11/2013,10,36.63196,39.19,-217.8271
28/11/2013,11,38.38852,39.47,-79.8656
28/11/2013,12,39.67,60.15113,13.4218
28/11/2013,13,47.29,61.46386,513.5258
28/11/2013,14,49.35,62.94283,569.8187
28/11/2013,15,53.35,99.62754,522.6185
28/11/2013,16,57.77,131.51203,638.6077
28/11/2013,17,56.88,133.60841,594.6001
28/11/2013,18,61.32,127.55188,518.7259
28/11/2013,19,62.83,119.15559,502.5502
28/11/2013,20,62.37,121.89853,209.8009
28/11/2013,21,61.6,106.68889,300.4651
28/11/2013,22,65.24,80.66666,46.412
28/11/2013,23,43.03057,61.04,-71.2289
28/11/2013,24,43.02489,60.7,-35.9894
28/11/2013,25,43.03278,61.53,-34.5302
28/11/2013,26,43.21659,61.86,-94.9015
28/11/2013,27,43.05294,60,-293.8773
28/11/2013,28,43.30609,58.93,-318.3851
28/11/2013,29,43.01862,58.21,-322.0892
28/11/2013,30,43.53179,57.1,-390.1801
28/11/2013,31,43.52315,58.68,-356.6539
28/11/2013,32,44.33098,59.39,-371.7796
28/11/2013,33,44.15565,64.35,-671.6098
28/11/2013,34,43.85377,78.9,-991.8687
28/11/2013,35,42.57461,79.34,-1032.0704
28/11/2013,36,44.14621,73.87,-823.5449
28/11/2013,37,44.11108,66.36,-705.0806
28/11/2013,38,44.08705,62.47,-705.124
28/11/2013,39,44.00532,57.36,-324.5761
28/11/2013,40,44.08443,57.23,-280.6452
28/11/2013,41,44.32139,56.96,-296.8679
28/11/2013,42,44.25423,55.53,-375.2945
28/11/2013,43,44.09251,53.92,-244.8481
28/11/2013,44,44.16024,52.75,-242.1523
28/11/2013,45,44.29272,52.28,-572.3695
28/11/2013,46,44.27487,51.68,-426.6736
28/11/2013,47,44.1023,50.19,-399.7339
28/11/2013,48,53.23,62.91546,56.7782
29/11/2013,1,44.05,57.8,-92.8481
29/11/2013,2,44.04584,57.69,-169.4376
29/11/2013,3,44.01948,56.78,-101.7761
29/11/2013,4,44.04722,53.39,-140.5754
29/11/2013,5,38.32318,54.32,-150.9351
29/11/2013,6,34.61781,54.39,-303.4435
29/11/2013,7,33.40934,42.94,-289.8528
29/11/2013,8,32.5517,41.71,-389.4041
29/11/2013,9,32.70155,41.03,-390.1997
29/11/2013,10,32.16841,41.28,-566.8329
29/11/2013,11,33.70421,47.43,-314.2084
29/11/2013,12,39.83467,47.83,-294.8065
29/11/2013,13,39.77737,49.39,-381.605
29/11/2013,14,33.37817,49.62,-551.9946
29/11/2013,15,34.29473,55.95,-640.8704
29/11/2013,16,39.68799,59.35,-317.2602
29/11/2013,17,41.66672,57.65,-361.122
29/11/2013,18,42.11408,57.86,-192.3006
29/11/2013,19,41.8945,57.04,-524.1472
29/11/2013,20,30.79196,56.39,-649.4937
29/11/2013,21,42.16376,55.64,-98.8104
29/11/2013,22,42.04845,55.29,-265.6752
29/11/2013,23,42.02275,50.6,-123.7749
29/11/2013,24,41.74406,50.28,-270.4356
29/11/2013,25,41.66872,50.31,-260.482
29/11/2013,26,41.75122,49.15,-171.6561
29/11/2013,27,41.9874,46.86,-81.128
29/11/2013,28,42,46.42,-34.2465
29/11/2013,29,45.13,61.27464,124.2574
29/11/2013,30,42,44.59,-16.2024
29/11/2013,31,41.66267,49.39,-336.0065
29/11/2013,32,41.81601,51.17,-161.5421
29/11/2013,33,42.00102,55.3,-199.0151
29/11/2013,34,42.31268,63.18,-43.3589
29/11/2013,35,42.01553,62.94,-32.5352
29/11/2013,36,42,60.38,-45.4386
29/11/2013,37,55.67,76.63324,39.7273
29/11/2013,38,53.28,65.09,10.6091
29/11/2013,39,55.08,63.09,15.5346
29/11/2013,40,43.37626,54.85,-294.7747
29/11/2013,41,43.24535,55.54,-337.4148
29/11/2013,42,42.24851,51.82,-482.8949
29/11/2013,43,52.1,61.5979,17.121
29/11/2013,44,50.57,61.70742,136.9853
29/11/2013,45,42,50.61,-82.0132
29/11/2013,46,48.26,56.76386,34.7467
29/11/2013,47,37.05276,48.16,-489.332
29/11/2013,48,36.18961,45.56,-290.6263
30/11/2013,1,36.23477,43.14,-226.2865
30/11/2013,2,36.2338,42.32,-205.1964
30/11/2013,3,36.12858,36.12858,-85.0826
30/11/2013,4,32.30027,34.56,-154.4331
30/11/2013,5,34.81,52,37.828
30/11/2013,6,33.9,53.31522,327.3696
30/11/2013,7,34.1,52.0943,150.6637
30/11/2013,8,31,33.3,-10.1994
30/11/2013,9,31,34.18,-184.1552
